,href,title,text,rating
0,https://irecommend.ru//content/zvezdatoe-svetloe-pivo-s-modnym-finskim-nazvaniem-kak-petsya-tovarishchi-moi-vpechatleniya,"
Звездатое светлое пиво с модным финским названием. Как пьется, товарищи? Мои впечатления ","Пиво Хейнекен пробовала когда-то в молодости, когда большого выбора современных российских марок не было в продаже, да потом подзабыла про него. 










 










Совсем недавно в выходной день у нас проходила пивная акция от Хейнекен - раздавали в руки по одной баночке нулевки. Оказалась нулевка не плоха. Думаю, дай-ка куплю алкогольное пиво попробовать. И оно оправдало все мои ожидания! 










Пиво Хейнекен светлое пастеризованное (Music edition) обладает несильным ароматом, и при этом совсем не горчит, а это мне нравится, когда пиво не горькое в послевкусии. Данный выпитый экземпляр был сделан в евросоюзе, больше не нашла ничего на банке по производителю, только импортера, купила в Сербии. Надеюсь, что качество пива, сделанного на разных заводах, совпадает друг с другом. 










 Пиво пошло отлично, после первой же банки сей стакан был разбит взмахом локтя, что говорит и об эффективности выпитого что касаемо градусов. Пиво Хейнекен светлое пастеризованное рекомендую взрослым друзьям и подружкам - любителям холодненького пива. Особенно, если ухватите акцию. Лучше пить в охлажденном виде.  А ЗДЕСЬ о веселеньком шампанском - Советское шампанское полусладкое ГОСТ - Вино красное Vranac Rubin, производство Сербия - Сухие вина не пью, болит голова. Но это вино удивило - Вино Caveneta - Прекрасное дешевое винище для полоскания горла - Розовое вино Castillo Lagomar Rosado - Распробовала со второго раза - Вино ""Жеребячья кровь"", в оригинале ""Zdrepceva Krv"" - Вино вкусное. Пострадало ли животное, вот в чем вопрос - Вино красное полусладкое ИЗАБЕЛЛА DOLCE ARGENTINA Гатчинский спиртовой завод - Дежурное вечернее винцо - Вино ДАР ТАМАНИ Изабелла оригинальная ООО «Прохлада» Приличное вино из Светофора - пиво ""Жигулевское высший сорт"" от Пивоваренной компании ""Балтика"" - Мама дорогая, неужели такое пиво пили в советское время ",5
0,https://irecommend.ru//content/obychnyi-evrolager-s-marketingovym-cheshskim-nazvaniem,"
Обычный евролагер с маркетинговым чешским названием  ","В сети ""КиБ"" появился новый пивной бренд ""Stara Pivnice"" от пивгиганта""Криница"" из Беларуси , по заявлению производителя: Сварено по оригинальныму чешскому рецепту с использованием чешских сортов хмеля и дрожжей. Сможет ли данный продукт по-настоящему импортозаместить чешские сорта?Итак разбираемся.. Stara Pivnice(Стара Пивнице)Алк.4,8%,ЭНС.11,8%Беларусь, г.МинскОАО КриницаС 1975 г. «Криница» является крупнейшим в Беларуси предприятием по производству пива и кваса. Сегодня в активе компании несколько брэндов. Поставляется и выпускается заводом только в стеклянной версии. Цвет золотистый. Аромат очень слабый хмеля. Пена образуется пышная, держится довольно долго и немного остаётся на стенках бокала. Вкус лёгкий, освежающий, мягкий с очень слабой горчинкой и такими же слабыми и невнятными травяными нотами, с финальной неприятной кислинкой в быстро проходящем и размытым послевкусии. Несмотря на заявленную плотность в 11,8(ЭНС.), сам вкус ближе к более водянистым деситкам, но вся соль в том, что этом продукт кроме названия ничего общего с традиционными классическими чешскими сортами не имеет. В целом обычный лагер,Очередной маркетинг и ничего более. Кто знает тот поймет, а кто только начинает ""приобщаться и познавать"" настоящую Чехию, то даже самый бюджетный настоящий Чешский лежак в корне отличается от этого продукта...Но в целом вполне добротный лагер за достойную цену плюс честный объем в 0,5л.! Спасибо за внимание и всем новых гастрономических открытий! . ",3
0,https://irecommend.ru//content/obychnaya-baltika-tolko-bolee-kachestvennaya,"
Обычная Балтика только более качественная.  ","Всем привет! Сегодня мой отзыв будет о пиве Perroni. Интересный вариант из самой Италии. Я так понимаю, в самой Италии это пиво пьют чаще других. Довольно ходовое оно в своей стране. Часто такое название встречалось мне на стикерах в барах. Само пиво увидела в сети магазинов ""Ароматный мир"" . По цене было 100 рублей, что вполне устроило. Захотелось попробовать эту новиночку. Дизайн очень простой, но при этом со вкусом. Красивая простая и сдержанная этикетка. Очень отличное решение. Обьем 0.33 мл. Алкоголь 5.1%. Попробовала за ужином. Вкус у пива не очень выраженный. Обычный. Довольно классический, но ничего необычного в нем не заметила. Очень напоминает обычную Балтику. Но по качеству, несомненно, куда выше. Не чувствуется спирта. Хотя и градус высокий, но на такую бутылочку все очень гармонично рассчитано. Состав у пива тоже очень хороший. Нет ничего лишнего. Единственное удивила кукурузная мука. Но, возможно, это добавляет вкуса. Цвет классический, соломенный. Аромат приятный, хмельной. Один раз попробовать довольно интересно, но больше вряд ли куплю. ",3
0,https://irecommend.ru//content/po-vkusu-pivo-mne-ponravilos-ono-vkusnoe-so-vkusom-tropicheskikh-fruktov-petsya-legko-sovers,"
По вкусу пиво мне понравилось, Оно вкусное, со вкусом тропических фруктов. Пьется легко, совершенно не чувствуются градусы в напитке ","Всем доброго времени суток. В своих предыдущих отзывах я уже знакомила Вас с Пивм Carlsberg Seth&Riley's GARAGE Hard Lemon с Пивом Carlsberg Seth&Riley's GARAGE Hard Black Cherry Drink. Сегодня я хочу рассказать про Пиво Carlsberg Seth&Riley's Garage Hardcore Pineapple. Покупала я его в супермаркете ""Магнит"", но думаю купить его можно везде. Цена в районе 70 рублей за бутылочку. Вот так выглядит бутылка Вполне обычная, на ней этикетка с названием напитка. На обратной стороне этикетка с полезной информацией.   На которой указан срок годности, информация о производителе.    У бутылке удобная крышка, открыть ее не составляет труда, стоит только потянуть за кольцо.  Наливаю пиво в бокал и вижу хорошую такую пивную пенку. Которая не оседает некоторое время.  По вкусу пиво мне понравилось, Оно вкусное, со вкусом тропических фруктов. Пьется легко, совершенно не чувствуются градусы в напитке.  Прекрасно подойдет девушкам любящим экзотические коктейли. Рекомендую к покупке. ",4
0,https://irecommend.ru//content/ocherednoi-vydumannyi-brend-dlya-stran-sng,"
Очередной выдуманный бренд для стран СНГ ","На сужающихся от импорта полках крупных сетевых магазинов появился новый пивной бренд из Франции""D'atour""от известной пивоварни ""Brasserie Champigneulles"",пока с одним единственным светлым сортом в стиле бельгийского аббатского эля. Каков на вкус этот новый продукт и сможет ли он заменить уже полюбившихся нам бестселлеров в этом сортовом сегменте? D'arour Royal Blonde(Датур Ройал Блонд)Алк.6,2%,ЭНС.14%Высокое брожениеФранция, г.ШампиньольBrasserie Champigneulles SASBBy TCB Beverage Импортируется только в версии в ж/б. Цвет янтарный. В аромате солод и немного хмеля. Пена образуется пышная мелкопористая с небольшой пышной шапкой, держится долго и остаётся на стенках бокала. Карбонизация средняя. Вкус мягкий, насыщенный, довольно сложный, с умеренной пряной горчинкой и карамельно-цветочными нотами, а также ощущаются медовые и фруктовые ноты в довольно продолжительном послевкусии. В целом ,это добротный эль в бельгийском аббастком стиле со всеми хорошими органолептическими характеристиками и в принципе достойная замена массовых евро конкурентов ушедших с Российского рынка(Leffe,Grimbergen и т.д.). Этот сорт точь в точь по всем характеристикам и описанию соответствует сорту ""Biere Abbaye""от этой же пивоварни. Все дело в том, что эта пивоварня ""Champigneulles"" выпускает свое пиво разных сортов только под своим наименованием, а этот продукт(бренд), наводит на мысль,что специально создан и заказан импортером(Глобал импорт уже знаком нам по другим созданным специально для нашего российского рынка-Thron,Eboshi и т.д.), ведь на официальном сайте этой пивоварни про этот пивной бренд нет ни одного слова и упоминания. Вот только соль в том, что этот выдуманный сорт стоит дороже,чем оригинал!Казалось бы все должно быть наоборот...Но нет, чистый бизнес по-еврейски-русски! Сам оригинал продается исключительно в сети ""КиБ"",эта же сеть по сути и является прямым импортёром, к тому же стоит только ниже, в районе 89₽. А этот продукт от 99₽(по акции) и выше! И именно поэтому этот продукт по завышенной цене я не буду рекомендовать, хотя ещё также возможно, что на некоторых компонентах, их качестве, также могли сэкономить и урезать, проследить это просто невозможно...Но в целом продукт вполне добротный, если бы не несколько но ... Спасибо за внимание и всем новых гастрономических открытий! ",3
0,https://irecommend.ru//content/velikolepnoe-kraftovoe-pivo-kholodnogo-okhmeleniya,"
Великолепное крафтовое пиво холодного охмеления  ","Региональные пивные бренды все больше расширяют свое присутствие на растущем российском рынке, занимая разные сортовые ниши и предлагая новые решения. Сегодня хотел бы поделиться отзывом о легендарном пивном заводе""Томское пиво"", и его коафтовом сорте ""Холодный Хмель"",который раньше был известен только у себя в Томске и близлежайших регионах. Но теперь это пиво можно встретить в крупной сети ""КиБ"". Холодный хмельАлк.4,9%,ЭНС.12%Низовое брожениеКрафтовое пивоРоссия,г.ТомскТомское пиво Состав:Вода, солод светлый ячменный, хмелепродукты (хмель гранулированный). Классическая темная стеклянная бутылка. Цвет золотистый. Аромат хмелевой,фруктовый. Пена образуется средняя,держится также средне и немного лишь остаётся на стенках бокала. Карбонизация средняя. Тело среднеплотное. Вкус очень мягкий, освежающий, насыщенный, но с утонченной слегка пряной горчинкой и цветочно-солодовы и нотами в довольно продолжительном послевкусии.  При приготовлении такого пива хмеля добавляется в два раза больше, чем в обычные сорта, и поэтому в этом пиве в полной мере раскрываются тонкие оттенки ароматного хмеля, и вкус пива становится ярким и запоминающимся. В целом, отличный крафтовый продукт с отличными характеристиками, освежающий ,мягкий, питкий и ароматный! А цена для этого крафта очень привлекательная! Более того с честным объёмом 0,5л.,что на сегодняшний день является редкостью для российских производителей. На мой взгляд, этот отечественный продукт вполне очень достойно может стать импортозамещением и более того, этот продукт лучше многих немецких и даже именитых европейских массовых производителей аналогичного сорта! Спасибо за внимание и всем новых гастрономических открытий! ",5
0,https://irecommend.ru//content/obychnoe-posredstvennoe-zhivoe-yuzhnoepivo,"
Обычное посредственное ""живое"" южноепиво  ","На полках магазинов южного региона(Краснодарского края)крупных сетевых и самых обычных, появился новый локальный пивной игрок""Афипское"" с несколькими сортами. Об одном из них я хотел бы поделиться максимально объективным отзывом. Афипское светлое непастеризованное Алк.4,5%,ЭНС.12% Низовое брожение АСБ групп Россия,Краснодарский край Пгт.Афипский Цвет слегка мутноватый золотистый,странно хотя в характеристиках заявлено как фильтрованное...Аромат очень бледный, где-то отдаленно солодовый.Пены почти нет, точнее ее немного появилось я очень быстро осела.Вкус лёгкий ,освежающий с еле уловимой горчинкой и далее опять же слабое карамельно-солодовое очень невнятное,рызмытое и быстро проходящее послевкусие. В целом обычное ""живое пиво"" с типичным вкусом и типичными скромными и самыми обычными органолептическими характеристиками...Даже не хочется порасуждать и вдаваться в детали,хотя как всегда красиво""на бумаге"", а в целом посредственный продукт...Спасибо за внимание и всем новых гастрономических открытий! ",2
0,https://irecommend.ru//content/legendarnyi-lager-teper-dostupnyi-po-vsei-rossii,"
Легендарный Лагер теперь доступный по всей России  ","Региональные пивные бренды все больше расширяют свое присутствие на растущем российском рынке, занимая разные сортовые ниши и предлагая новые решения. Сегодня хотел бы поделиться отзывом о легендарном пивном бренде ""Крюгер"", который раньше был известен только у себя в Томске и близлежайших регионах. Но теперь это пиво можно встретить в крупной сети ""КиБ"". Крюгер традиционноеАлк.4,9%,ЭНС.12%Россия, г.ТомскТомское пивоЗавод основан в 1876г. прусским пивоваром Карлом Крюгером, который стал маркировать бутылки с пивом своей фамилией. В 1995 году бренд «Крюгер» вернулся на прилавки томских магазинов в результате решения о создании серии сортов, названных в честь основателя предприятия, а теперь весь ассортимент можно приобрести не только по всей России, но также и в Китае. Стеклянная бутылка классической формы и цвета. Цвет соломенный. В аромате хмель. Пена образуется пышная мелкопористая , которая держится очень долго и много остаётся на стенках бокала. Карбонизация средняя. Вкус лёгкий, освежающий с умеренной горчинкой медово-трявяными и завершаюшими солодовыми нотами в довольно продолжительном послевкусии. В этом лагере узнается тот самый вкус благородных немецких хеллей, кстати ведь основателем пивоварни является прусский пивовар Карл Крюгер, в честь которого и названо это пиво, а также по немецким рецептам и технологиям. В целом, это отличный лагер,очень мягкий, питкий со всеми отличными органолептическими характеристиками, а также честным объемом 0,5л(крайняя редкость для массовых российских производителей)!На мой взгляд, этот отечественный продукт вполне очень достойно может стать импортозамещением и более того, этот продукт лучше многих немецких и даже именитых европейских массовых производителей аналогичного сорта!Спасибо за внимание и всем новых гастрономических открытий! ",4
0,https://irecommend.ru//content/pivnoi-napitok-s-interesnym-vkusom-pryamikom-iz-solnechnoi-meksiki,"
Пивной напиток с интересным вкусом. Прямиком из солнечной Мексики.  ","Всем привет! Сегодняшний отзыв будет о популярном пивном напитке Corona Extra. Почему-то очень многим людям оно безумно нравится. Возможно из-за фильма ""Форсаж"" где главный герой пил только Корону. Это своего рода бренд пива. Несколько раз становилась свидетелем как в алкомаркетах спрашивают именно корону. Я ее пила раза 2. Пивной напиток вполне неплохой, но ничего сверхъестественного я в нем не заметила. Единственный плюс - очень легкое. Дизайн тоже очень симпатичный. Не стыдно забрать такое в коллекцию. Но обо всем по порядку. Корону я брала в далеком 2020 году первый раз на пробу в баре. Захотелось чего-то ультра легкого и приятного. Мне посоветовали попробовать именно такой интересный мексиканский вариант. В целом, мне понравилось. Кстати бутылочка у меня сохранилась. Объем её был больше недавно купленной. 35.5. Срок годности у неё до 2021. Возможно следующие партии стали выпускать меньшим объёмом. Недавно захотелось выпить пенное за ужином. В магазине был большой выбор, но я решила попробовать проверенный вариант. И была немного разочарована. В первый раз и вкус мне показался ярче и объем был чуть-чуть больше. Штрих код действительно мексиканский. Это, однако, вызывает доверие. Так, если делать вывод, напиток очень водянистый и очень лёгкий. Отдаёт странным и не характерным для классического пива привкусом. Немного текильно-кукурузное, как по мне. Хотя алкоголь 4.5% он совсем не ощущается. По гастрономическому сочетанию подойдёт ко всему. К копчёным и обычным сырам, снекам, даже просто к обычному ужину. Рекомендую попробовать любителям чего-то необычного. Мексика вас ждёт) ",4
0,https://irecommend.ru//content/originalnoe-temnoe-pivo-priyatnyi-vkus-slegka-s-gorchinkoi,"
Оригинальное тёмное пиво. Приятный вкус, слегка с горчинкой ","Здравствуйте. Сегодня я хочу поделиться с вами своими впечатлениями о пиве от Кузницы Знатного Пива STOUT тёмное.  Предыстория покупки. Пиво пью ещё со студенческих времён. Не злоупотребляю, но иногда 1-2 баночки/бутылочки можно себе позволить. Светлое не люблю, любое. Не нравится мне вкус и всё. Пробовала разные - нефильтрованное особо неприятное почему-то. Даже белое пиво пробовало, но как-то ни о чём. От фруктовых меня начинает подташнивать, и о каком удовольствии тогда уж тут речь. А вот тёмное пиво мне нравится. Но тоже далеко не всё. Обычно я нахожу ту марку, что мне нравится больше всего, и пью это пиво до тех пор, пока по какой-то причине, оно не становится всё хуже и хуже, и доходит до того момента, когда пить его уже невозможно. STOUT тёмное никогда не было моей ""постоянной маркой"", я просто решила попробовать его один разок. Сначала вышло так, что в компании его принёс один знакомый. А потом уже я купила баночку и сама.  Упаковка. В общем-то ничего сверхъестественного. Обычная жестяная банка. Но мне очень понравилось оформление.  По-своему оно весьма минималистично, но при этом приковывает взгляд и вызывает интерес. С обратной стороны на банке указано много полезной информации. В том числе состав (об этом чуть позже), историческая справка Первое упоминание пива stout замечено в писаниях 1677 года. Сам термин «stout» в различные периоды мог относиться то к просто крепкому пиву (цвет был не важен, светлые эли также могли называться «стаутом»), то к портерам, пока не отделилось в индивидуальный сорт пива благодаря Артуру Гиннессу. Сегодня stout – это плотный темный эль с густой кремовой пеной. предупреждение о вреде чрезмерного употребления алкоголя дата розлива  Производитель. Пиво STOUT тёмное производит небольшая пивоварня ""Кузница знатного пива"". ""Кузница знатного пива"" - микропивоварня основанная в 2014 году. За качество пива отвечает чешский пивовар Штепан Лашак. Пивоварня выпускает 10 сортов пива и, время от времени, всякие лимитированные сорта. У ""Кузницы"" на данный момент 19 фирменных магазинов в Самаре и 2 в Тольятти. Но с началом розлива продукции в банки они планируют расширить географию продаж.  Состав.  Состав: вода, солод ячменный пивоваренный(светлый, карамельный, специальный), солод пшеничный пивоваренный светлый, хмель, дрожи пивные. Алкоголь 4,7%, плотность 14%, объём 0,5 л. Тёмное, нефильтрованное, непастеризованное.  Вкус и цвет. На официальном сайте пивоварни данное пиво анонсируется следующим образом: Плотный темный эль с густой кремовой пеной. Ненавязчивый аромат прожаренного ячменя и холодного кофе. И хотя содержания алкоголя в нём всего 4,7%, не больше, чем в том пиве, что я пью обычно, мне оно показалось достаточно крепким.   Последствия. Мне трудно судить о последствиях употребления данного пива, так как оба раза я всего лишь выпила по баночке 0,5 литров. Но основываясь на таком небольшом количестве по моим личным ощущениям, качество у пива STOUT тёмное очень неплохое. Никакого ощущения тошноты, сухости во рту ни во время употребления, ни после, ни на утро.  Итог. Отличное тёмное пиво. Конечно, цена в 115 рублей за банку 0,5 литров не маленькая, но если ваша цель насладится напитком, а не взять количеством, то это пиво вам очень даже подойдёт. ",5
