iter	Passed	Remaining
0	316	94640
1	649	96796
2	916	90746
3	1206	89260
4	1494	88156
5	1760	86285
6	2024	84722
7	2272	82963
8	2539	82120
9	2791	80959
10	3066	80553
11	3307	79371
12	3657	80751
13	3939	80482
14	4262	80978
15	4534	80480
16	4864	80979
17	5119	80213
18	5417	80124
19	5697	79767
20	6004	79773
21	6264	79166
22	6551	78900
23	6838	78641
24	7106	78168
25	7392	77903
26	7641	77259
27	7919	76933
28	8221	76825
29	8498	76486
30	8744	75883
31	9030	75628
32	9302	75264
33	9553	74741
34	9827	74404
35	10103	74088
36	10353	73597
37	10620	73223
38	10893	72900
39	11152	72491
40	11398	72004
41	11676	71726
42	11931	71309
43	12191	70931
44	12439	70488
45	12687	70059
46	12959	69758
47	13234	69480
48	13486	69086
49	13759	68798
50	14041	68556
51	14319	68295
52	14635	68209
53	14932	68024
54	15252	67944
55	15558	67791
56	15863	67629
57	16157	67417
58	16470	67278
59	16760	67041
60	17066	66867
61	17371	66684
62	17684	66527
63	17943	66164
64	18207	65827
65	18481	65526
66	18727	65125
67	18985	64774
68	19252	64452
69	19503	64082
70	19764	63746
71	20020	63399
72	20273	63042
73	20532	62707
74	20788	62366
75	21049	62039
76	21313	61725
77	21559	61362
78	21833	61077
79	22087	60740
80	22337	60395
81	22600	60083
82	22873	59800
83	23131	59481
84	23373	59120
85	23641	58828
86	23909	58536
87	24182	58256
88	24443	57950
89	24691	57614
90	24945	57292
91	25190	56953
92	25435	56615
93	25679	56275
94	25964	56027
95	26211	55699
96	26469	55395
97	26733	55103
98	26993	54805
99	27245	54491
100	27506	54195
101	27748	53865
102	28012	53576
103	28278	53293
104	28529	52984
105	28790	52692
106	29060	52418
107	29323	52130
108	29582	51837
109	29828	51522
110	30078	51214
111	30324	50902
112	30567	50584
113	30809	50268
114	31058	49963
115	31340	49712
116	31604	49432
117	31856	49134
118	32123	48860
119	32407	48611
120	32677	48340
121	32935	48053
122	33198	47772
123	33455	47485
124	33725	47216
125	34000	46952
126	34283	46700
127	34539	46412
128	34790	46117
129	35065	45855
130	35341	45593
131	35593	45300
132	35871	45041
133	36127	44754
134	36385	44470
135	36656	44203
136	36927	43935
137	37188	43656
138	37483	43416
139	37758	43152
140	38021	42875
141	38292	42607
142	38573	42349
143	38843	42080
144	39114	41812
145	39364	41521
146	39645	41263
147	39899	40978
148	40156	40695
149	40433	40433
150	40700	40160
151	40950	39873
152	41205	39589
153	41468	39314
154	41731	39039
155	42007	38776
156	42267	38498
157	42520	38214
158	42801	37956
159	43071	37687
160	43340	37418
161	43610	37149
162	43877	36878
163	44156	36617
164	44434	36355
165	44731	36108
166	45010	35846
167	45270	35569
168	45531	35293
169	45819	35038
170	46084	34765
171	46354	34496
172	46625	34228
173	46891	33956
174	47168	33692
175	47428	33415
176	47705	33151
177	47973	32880
178	48233	32604
179	48505	32336
180	48750	32051
181	49057	31806
182	49336	31542
183	49594	31266
184	49853	30989
185	50122	30720
186	50376	30441
187	50619	30156
188	50883	29884
189	51142	29608
190	51401	29333
191	51644	29049
192	51890	28768
193	52146	28492
194	52405	28218
195	52653	27938
196	52914	27665
197	53160	27385
198	53424	27114
199	53679	26839
200	53943	26569
201	54209	26299
202	54463	26024
203	54724	25752
204	54987	25482
205	55246	25209
206	55522	24945
207	55763	24664
208	56031	24396
209	56299	24128
210	56565	23859
211	56812	23582
212	57083	23315
213	57353	23048
214	57609	22775
215	57866	22503
216	58119	22230
217	58368	21955
218	58647	21691
219	58907	21420
220	59154	21145
221	59396	20869
222	59649	20596
223	59913	20327
224	60188	20062
225	60465	19798
226	60736	19531
227	60990	19260
228	61255	18991
229	61514	18721
230	61767	18449
231	62028	18180
232	62279	17908
233	62543	17640
234	62811	17373
235	63065	17102
236	63331	16835
237	63598	16567
238	63856	16298
239	64131	16032
240	64400	15766
241	64645	15493
242	64893	15222
243	65158	14954
244	65424	14687
245	65687	14419
246	66000	14162
247	66285	13898
248	66532	13627
249	66788	13357
250	67053	13090
251	67317	12822
252	67583	12555
253	67835	12285
254	68088	12015
255	68355	11748
256	68633	11483
257	68905	11217
258	69177	10950
259	69417	10679
260	69690	10413
261	69960	10147
262	70242	9881
263	70481	9611
264	70722	9340
265	70985	9073
266	71261	8807
267	71518	8539
268	71761	8269
269	72015	8001
270	72266	7733
271	72535	7466
272	72776	7197
273	73030	6929
274	73289	6662
275	73554	6396
276	73801	6127
277	74074	5862
278	74345	5595
279	74597	5328
280	74852	5061
281	75100	4793
282	75358	4526
283	75633	4261
284	75880	3993
285	76150	3727
286	76420	3461
287	76679	3194
288	76934	2928
289	77181	2661
290	77451	2395
291	77714	2129
292	77954	1862
293	78202	1595
294	78468	1329
295	78731	1063
296	78971	797
297	79223	531
298	79469	265
299	79715	0
