token,pos,mystem,mystem_f,natasha,natasha_f,pymorphy,pymorphy_f
ну,PART,PART,PART,PART,PART,PRCL,PART
она,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
и,INTJ,CONJ,CONJ,PART,PART,CONJ,CONJ
воручелла,S,S,S,VERB,V,NOUN,S
у,PR,PR,PR,ADP,PR,PREP,PR
нас,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
всегда,ADV,ADVPRO,ADVPRO,ADV,ADV,ADVB,ADV
на,PR,PR,PR,ADP,PR,PREP,PR
нас,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
ворчит,V,V,V,NOUN,S,VERB,V
мама,S,S,S,NOUN,S,NOUN,S
давай,V,V,V,VERB,V,VERB,V
кошечку,S,S,S,VERB,V,NOUN,S
пригрудим,V,V,V,NOUN,S,VERB,V
а,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
то,CONJ,SPRO,SPRO,PRON,SPRO,CONJ,CONJ
ведь,PART,PART,PART,PART,PART,PRCL,PART
ей,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
голодновато,ADV,A,A,VERB,V,ADJS,A
на,PR,PR,PR,ADP,PR,PREP,PR
улице,S,S,S,NOUN,S,NOUN,S
у,PR,PR,PR,ADP,PR,PREP,PR
них,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
на,PR,PR,PR,ADP,PR,PREP,PR
даче,S,S,S,NOUN,S,NOUN,S
много,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
порхунов,S,S,S,ADJ,A,ADJS,A
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
порхахалей,S,S,S,ADJ,A,NOUN,S
мама,S,S,S,NOUN,S,NOUN,S
вчера,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
весь,APRO,APRO,APRO,DET,APRO,ADJF,A
дом,S,S,S,NOUN,S,NOUN,S
передрыкала,V,V,V,ADJ,A,VERB,V
чайнело,V,A,A,ADJ,A,VERB,V
мильные,A,A,A,ADJ,A,ADJF,A
бокры,S,S,S,ADJ,A,NOUN,S
юлись,V,S,S,NOUN,S,VERB,V
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
дрырлись,V,V,V,NOUN,S,VERB,V
к,PR,PR,PR,ADP,PR,PREP,PR
поросе,S,S,S,NOUN,S,NOUN,S
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
глокой,A,S,S,ADJ,A,NOUN,S
куздры,S,S,S,ADJ,A,NOUN,S
развихры,S,S,S,ADJ,A,NOUN,S
курдячились,V,V,V,NOUN,S,VERB,V
по,PR,PR,PR,ADP,PR,PREP,PR
белесе,S,S,S,NOUN,S,NOUN,S
ты,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
белых,A,A,A,ADJ,A,ADJF,A
лебедей,S,S,S,NOUN,S,NOUN,S
кормила,V,V,V,VERB,V,VERB,V
откинув,V,V,V,ADJ,A,GRND,V
тяжесть,S,S,S,NOUN,S,NOUN,S
черных,A,A,A,ADJ,A,ADJF,A
кос,S,S,S,NOUN,S,NOUN,S
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
рядом,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
плыл,V,V,V,VERB,V,VERB,V
сошлись,V,V,V,ADV,ADV,VERB,V
кормила,S,V,V,VERB,V,VERB,V
закатный,A,A,A,ADJ,A,ADJF,A
луч,S,S,S,NOUN,S,NOUN,S
был,V,V,V,AUX,V,VERB,V
странно,A,ADV,ADV,ADV,ADV,ADVB,ADV
по,PR,PR,PR,ADP,PR,PREP,PR
небу,S,S,S,NOUN,S,NOUN,S
полосы,S,S,S,NOUN,S,NOUN,S
синели,V,V,V,ADJ,A,NOUN,S
вечеровой,A,S,S,ADJ,A,NOUN,S
багрец,S,S,S,ADJ,A,NOUN,S
кроя,V,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
цветах,S,S,S,NOUN,S,NOUN,S
черемух,S,S,S,NOUN,S,NOUN,S
и,CONJ,CONJ,CONJ,CCONJ,CONJ,CONJ,CONJ
синели,S,V,V,NOUN,S,NOUN,S
скрывались,V,V,V,VERB,V,VERB,V
водные,A,A,A,ADJ,A,ADJF,A
края,S,S,S,NOUN,S,NOUN,S
все,APRO,APRO,APRO,DET,APRO,PRCL,PART
формы,S,S,S,NOUN,S,NOUN,S
были,V,V,V,AUX,V,VERB,V
строго,A,ADV,ADV,ADV,ADV,ADVB,ADV
миг,S,S,S,NOUN,S,NOUN,S
ранил,V,V,V,VERB,V,VERB,V
сердце,S,S,S,NOUN,S,NOUN,S
сотней,NUM,S,S,NOUN,S,NOUN,S
жал,S,V,V,NOUN,S,NOUN,S
я,SPRO,SPRO,SPRO,PRON,SPRO,NPRO,SPRO
как,ADVPRO,CONJ,CONJ,SCONJ,CONJ,CONJ,CONJ
аскет,S,S,S,NOUN,S,NOUN,S
сжимает,V,V,V,VERB,V,VERB,V
четки,S,S,S,NOUN,S,NOUN,S
в,PR,PR,PR,ADP,PR,PREP,PR
руке,S,S,S,NOUN,S,NOUN,S
весло,S,S,S,NOUN,S,NOUN,S
невольно,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
жал,V,V,V,VERB,V,NOUN,S
вдруг,ADV,ADV,ADV,ADV,ADV,ADVB,ADV
