,title,text,rating,sentiment,processed
0,ABK Hefeweizen АБК Хефевайцен (Германия),"ABK небольшая баварская пивоварня, с очень большой историей. Основана аж в 1308 году. На данный момент выпускает десять классических сортов пива. Пиво мутное, с очень достойной и стойкой пеной. Аромат приятный цветочный, немного медовый. Мягкий и приятный.  Во вкусе банан и немного гвоздики. Чуть кислит вначале.  Неплохой хефевайцен, но ожидал чуть большей плотности от этого пива. ",7.5,1,"['abk', 'небольшой', 'баварский', 'пивоварня', ',', 'с', 'очень', 'большой', 'история', '.', 'основать', 'аж', 'в', '1308', 'год', '.', 'на', 'данный', 'момент', 'выпускать', 'десять', 'классический', 'сорт', 'пиво', '.', 'пиво', 'мутный', ',', 'с', 'очень', 'достойный', 'и', 'стойка', 'пена', '.', 'аромат', 'приятный', 'цветочный', ',', 'немного', 'медовый', '.', 'мягкий', 'и', 'приятный', '.', 'в', 'вкус', 'банан', 'и', 'немного', 'гвоздик', '.', 'чуть', 'кислить', 'вначале', '.', 'неплохой', 'хефевайцен', ',', 'но', 'ожидать', 'чуть', 'больший', 'плотность', 'от', 'это', 'пиво', '.']"
1,Бочонок Для Друзей (Россия),"Пусть вас не смущает разница в размере бокала и банки. Это не фотошоп. Это литровая алюминиевая банка. Я видел литровые банки и прежде. У Факса, у МПК. Там форм-фактор другой. А тут вроде обычная банка 0,5, но Х2. И это работает! Я только от внешнего вида не удержался от покупки. Ну еще за маячащий кэшбек от сдачи в утиль банки, которая весит как титаник. Месяц точно можно не работать! Дизайн жуткий, пестрит шаблонами. Кругом расставлены ловушки для мужичка средних лет, любящего залудить под пар. Банка призывает не забыть веник и валить в баню. Орет: ""Живое"", ""Щадящая пастеризация"", ""ГОСТ"". Все это как заговор от тапкопидоров. Которые, надо сказать, добрались таки до этого пива в кол-ве 400 человек и оценили пиво в 2,4 балла. (смотрел с веб-версии, без регистрации). Пены нет. Пенной корки нет. Цвет слабый - заварили слабо.  Что на витрине, то и в магазине. Сказали - ""живое""? Получайте! Пахнет ""живым""! По все канонам живого, налитым из редко моющихся кранов. Пиво водянистое. Кислит вначале, потом уходит в сладость. В послевкусии даже есть некоторый намек на горчинку.  Аромат ужасен, но вот вкус - пиво со вкусом пива. В бане такое пить можно. Еще можно запить им водку, которую предварительно закусили бутербродом с килькой. Не стал бы рекомендовать как самостоятельный напиток. ",4.8,-1,"['пусть', 'вы', 'не', 'смущать', 'разница', 'в', 'размер', 'бокал', 'и', 'банк', '.', 'это', 'не', 'фотошоп', '.', 'это', 'литровый', 'алюминиевый', 'банк', '.', 'я', 'видеть', 'литровый', 'банк', 'и', 'прежде', '.', 'у', 'факс', ',', 'у', 'мпк', '.', 'там', 'форм-фактор', 'другой', '.', 'а', 'тут', 'вроде', 'обычный', 'банк', '0,5', ',', 'но', 'х2', '.', 'и', 'это', 'работать', '!', 'я', 'только', 'от', 'внешний', 'вид', 'не', 'удержаться', 'от', 'покупка', '.', 'ну', 'ещё', 'за', 'маячить', 'кэшбек', 'от', 'сдача', 'в', 'утиль', 'банк', ',', 'который', 'весить', 'как', 'титаник', '.', 'месяц', 'точно', 'можно', 'не', 'работать', '!', 'дизайн', 'жуткий', ',', 'пестрить', 'шаблон', '.', 'кругом', 'расставить', 'ловушка', 'для', 'мужичок', 'средний', 'год', ',', 'любящий', 'залудить', 'под', 'пара', '.', 'банк', 'призывать', 'не', 'забыть', 'веник', 'и', 'валить', 'в', 'баня', '.', 'орать', ':', '``', 'живой', ""''"", ',', '``', 'щадить', 'пастеризация', ""''"", ',', '``', 'гост', ""''"", '.', 'всё', 'это', 'как', 'заговор', 'от', 'тапкопидор', '.', 'который', ',', 'надо', 'сказать', ',', 'добраться', 'таки', 'до', 'это', 'пиво', 'в', 'кол-ве', '400', 'человек', 'и', 'оценить', 'пиво', 'в', '2,4', 'балл', '.', '(', 'смотреть', 'с', 'веб-версия', ',', 'без', 'регистрация', ')', '.', 'пена', 'нет', '.', 'пенный', 'корка', 'нет', '.', 'цвет', 'слабый', '-', 'заварить', 'слабо', '.', 'что', 'на', 'витрина', ',', 'то', 'и', 'в', 'магазин', '.', 'сказать', '-', '``', 'живой', ""''"", '?', 'получать', '!', 'пахнуть', '``', 'живой', ""''"", '!', 'по', 'всё', 'канон', 'живой', ',', 'налитой', 'из', 'редко', 'мыться', 'крановый', '.', 'пиво', 'водянистый', '.', 'кислить', 'вначале', ',', 'потом', 'уходить', 'в', 'сладость', '.', 'в', 'послевкусие', 'даже', 'есть', 'некоторый', 'намёк', 'на', 'горчинка', '.', 'аромат', 'ужасный', ',', 'но', 'вот', 'вкус', '-', 'пиво', 'с', 'вкус', 'пиво', '.', 'в', 'баня', 'такой', 'пить', 'можно', '.', 'ещё', 'можно', 'запить', 'они', 'водка', ',', 'который', 'предварительно', 'закусить', 'бутерброд', 'с', 'килька', '.', 'не', 'стать', 'бы', 'рекомендовать', 'как', 'самостоятельный', 'напиток', '.']"
2,Минское Жигулевское (Беларусь),"На этикетке указано что пиво произведено в Беларуси, а в РФ его импортирует Балтика. 
Начиная с 2006 года, белорусскую пивоварню (тогда еще ""Оливарию"") начала поджирать Carlsberg Group. А в 2011 году таки сожрала окончательно. Как и нашу Балтику, и еще уйму других пивоварен с богатейшей историей. Так что в следующий раз, зайдя в магазин белорусских товаров, и купіўшы сабе беларускага піва, обратите внимание на производителя. Вполне вероятно что оно было произведено не в Белруси, а на одном из заводов Балтики в РФ. 
Внешний вид прост. Бледное пиво, почти без пены. Пенной корки нет. Слабый солодовый, без каких либо оттенков. Но и без грязи.  Абсолютно пустое пиво. Чуть кислит. В послевкусии какое-то подобие хмеля.   Единственное достоинство - отсутствие больших недостатков.  ",5.2,1,"['на', 'этикетка', 'указать', 'что', 'пиво', 'произвести', 'в', 'беларусь', ',', 'а', 'в', 'рф', 'он', 'импортировать', 'балтика', '.', 'начинать', 'с', '2006', 'год', ',', 'белорусский', 'пивоварня', '(', 'тогда', 'ещё', '``', 'оливарий', ""''"", ')', 'начало', 'поджирать', 'carlsberg', 'group', '.', 'а', 'в', '2011', 'год', 'таки', 'сожрать', 'окончательно', '.', 'как', 'и', 'наш', 'балтика', ',', 'и', 'ещё', 'уйма', 'другой', 'пивоварня', 'с', 'богатый', 'история', '.', 'так', 'что', 'в', 'следующий', 'раз', ',', 'зайти', 'в', 'магазин', 'белорусский', 'товар', ',', 'и', 'купіўш', 'саба', 'беларускаг', 'пів', ',', 'обратить', 'внимание', 'на', 'производитель', '.', 'вполне', 'вероятно', 'что', 'оно', 'быть', 'произвести', 'не', 'в', 'белрусь', ',', 'а', 'на', 'один', 'из', 'завод', 'балтика', 'в', 'рф', '.', 'внешний', 'вид', 'простой', '.', 'бледный', 'пиво', ',', 'почти', 'без', 'пена', '.', 'пенный', 'корка', 'нет', '.', 'слабый', 'солодовый', ',', 'без', 'какой', 'либо', 'оттенок', '.', 'но', 'и', 'без', 'грязь', '.', 'абсолютно', 'пустой', 'пиво', '.', 'чуть', 'кислить', '.', 'в', 'послевкусие', 'какой-то', 'подобие', 'хмелить', '.', 'единственный', 'достоинство', '-', 'отсутствие', 'больший', 'недостаток', '.']"
3,Yelamu Double Ipa Елами Дабл ИПА (Великобритания),"Пивоварня Thornbridge не частый гость на российском рынке. А уж тем более, пивоварня Magic Rock, в коллаборации с которой было сварено это пиво. Мне посчастливилось попробовать Double Ipa с 7,4 алк. и ЭНС в 16.7%. Что там в банке? Попробуем! Банка своим внешним видом больше похожа на сидр. Пена богатая, стойкая. Пиво нефильтрованное, достаточно мутное. Ничего необычного для этого стиля.  Мощнейший. Хмелевой, медовый, сладкий, густой, цветочный и цитрусовый. Солодовый, плотный, сладкий вкус. Потом вступает в игру хмель, добавляя грейпфрутовую густую горечь, вязкие хвойные ноты и длинное цитрусовое послевкусие. Неплохой Double IPA. Определенно заслуживает внимания. ",7.5,1,"['пивоварня', 'thornbridge', 'не', 'частый', 'гость', 'на', 'российский', 'рынок', '.', 'а', 'уж', 'тем', 'более', ',', 'пивоварня', 'magic', 'rock', ',', 'в', 'коллаборация', 'с', 'который', 'быть', 'сварить', 'это', 'пиво', '.', 'я', 'посчастливиться', 'попробовать', 'double', 'ipa', 'с', '7,4', 'алк', '.', 'и', 'энс', 'в', '16.7', '%', '.', 'что', 'там', 'в', 'банк', '?', 'попробовать', '!', 'банк', 'свой', 'внешний', 'вид', 'большой', 'похожий', 'на', 'сидр', '.', 'пена', 'богатый', ',', 'стойкий', '.', 'пиво', 'нефильтрованный', ',', 'достаточно', 'мутный', '.', 'ничего', 'необычный', 'для', 'это', 'стиль', '.', 'мощный', '.', 'хмелевой', ',', 'медовый', ',', 'сладкий', ',', 'густой', ',', 'цветочный', 'и', 'цитрусовый', '.', 'солодовый', ',', 'плотный', ',', 'сладкий', 'вкус', '.', 'потом', 'вступать', 'в', 'игра', 'хмель', ',', 'добавлять', 'грейпфрутовый', 'густой', 'горечь', ',', 'вязкий', 'хвойный', 'нота', 'и', 'длинный', 'цитрусовый', 'послевкусие', '.', 'неплохой', 'double', 'ipa', '.', 'определённо', 'заслуживать', 'внимание', '.']"
4,Бергише Ландбир Bergisches Landbier (Германия),"Пиво редкое. Производится на маленькой немецкой пивоварне, и поставляется в Россию в небольших колличествах. Забавный принт на этикетке. Богатая пена и приятный цвет.  Насыщенный, солодовый, хлебный. Немного карамельный.  Карамель и корки хлеба. Пиво сладковатое. Среднеплотное. Послевкусие карамельное с приятной горчинкой.  Всегда считал немцев скучными и после первого бокала старался сменить пиво. Этот дункель настолько интересен, что пить его можно и на завтрак и в обед и на ужин. ",7.8,1,"['пиво', 'редкий', '.', 'производиться', 'на', 'маленький', 'немецкий', 'пивоварня', ',', 'и', 'поставляться', 'в', 'россия', 'в', 'небольшой', 'колличество', '.', 'забавный', 'принт', 'на', 'этикетка', '.', 'богатый', 'пена', 'и', 'приятный', 'цвет', '.', 'насыщенный', ',', 'солодовый', ',', 'хлебный', '.', 'немного', 'карамельный', '.', 'карамель', 'и', 'корка', 'хлеб', '.', 'пиво', 'сладковатый', '.', 'среднеплотный', '.', 'послевкусие', 'карамельный', 'с', 'приятный', 'горчинка', '.', 'всегда', 'считать', 'немец', 'скучный', 'и', 'после', 'первый', 'бокал', 'стараться', 'сменить', 'пиво', '.', 'этот', 'дункель', 'настолько', 'интересный', ',', 'что', 'пить', 'он', 'можно', 'и', 'на', 'завтрак', 'и', 'в', 'обед', 'и', 'на', 'ужин', '.']"
5,Amber Weiss Wheat Beer Амбер Вайс Вит Бир (Россия),"Дизайн отличный. Есть некоторые странности в виде голубей и кобыл, но в целом очень достойно. Ощущение будто бы это пиво лет 200 уже варят в какой-нибудь деревне на границе Германии и Бельгии. Как я не старался, так и не нашел оригинал этого пива. Выходит что дизайнеры Эфеса не зря едят свой хлеб. Убедительный закос под лицензию. Верю! Кроме кобыл и голубя еще есть некоторые вопросы на счет нейминга. Amber Weiss Wheat. На мой взгляд, что-то они тут нагородили лишнего. После того как пиво оказалось в бокале, стала понятна уместность слова Amber в названии. Пена богатая, белая. Очень стойкая.   Ожидал найти более выраженный вайцен в аромате. Тут, если сильно постараться, то можно унюхать положенные стилю банан и гвоздику. Пиво изрядно кислит вначале. Водянистое. В середине, из кислого начинает уходить в чуть сладковатое, сухое послевкусие. На счет этого пива я решил что когда его цена на полке не будет стремиться к 100 руб., то оно имеет шансы оказаться в корзинке. ",7.0,1,"['дизайн', 'отличный', '.', 'есть', 'некоторый', 'странность', 'в', 'вид', 'голубеть', 'и', 'кобыла', ',', 'но', 'в', 'целое', 'очень', 'достойно', '.', 'ощущение', 'будто', 'бы', 'это', 'пиво', 'год', '200', 'уже', 'варить', 'в', 'какой-нибудь', 'деревня', 'на', 'граница', 'германия', 'и', 'бельгия', '.', 'как', 'я', 'не', 'стараться', ',', 'так', 'и', 'не', 'найти', 'оригинал', 'это', 'пиво', '.', 'выходить', 'что', 'дизайнер', 'эфес', 'не', 'зря', 'есть', 'свой', 'хлеб', '.', 'убедительный', 'закоса', 'под', 'лицензия', '.', 'верить', '!', 'кроме', 'кобыла', 'и', 'голубь', 'ещё', 'есть', 'некоторый', 'вопрос', 'на', 'счёт', 'нейминг', '.', 'amber', 'weiss', 'wheat', '.', 'на', 'мой', 'взгляд', ',', 'что-то', 'они', 'тут', 'нагородить', 'лишний', '.', 'после', 'тот', 'как', 'пиво', 'оказаться', 'в', 'бокал', ',', 'стать', 'понятный', 'уместность', 'слово', 'amber', 'в', 'название', '.', 'пена', 'богатый', ',', 'белый', '.', 'очень', 'стойкий', '.', 'ожидать', 'найти', 'более', 'выраженный', 'вайцена', 'в', 'аромат', '.', 'тут', ',', 'если', 'сильно', 'постараться', ',', 'то', 'можно', 'унюхать', 'положить', 'стиль', 'банан', 'и', 'гвоздик', '.', 'пиво', 'изрядно', 'кислить', 'вначале', '.', 'водянистый', '.', 'в', 'середина', ',', 'из', 'кислый', 'начинать', 'уходить', 'в', 'чуть', 'сладковатый', ',', 'сухой', 'послевкусие', '.', 'на', 'счёт', 'это', 'пиво', 'я', 'решить', 'что', 'когда', 'он', 'цена', 'на', 'полка', 'не', 'быть', 'стремиться', 'к', '100', 'руб.', ',', 'то', 'оно', 'иметь', 'шанс', 'оказаться', 'в', 'корзинка', '.']"
6,Tennent’s 1885 Original Lager Теннент’с Лагер (Шотландия),"Впервые пробую пиво этой пивоварни. История которой началась, судя по их сайту, аж с 1556 года. Затем пивоварней, как положено, управляло несколько поколений одной фамилии. Ну а потом, как водится, ее сожрала более крупная рыба :) В РФ пиво поставляет МПК. Банка неприметная. Пена слабая. пенная корка тоже слабая. Пиво чистое, без всякого планктона и обладает приятным цветом.  Слабый цветочный аромат. Солодовый, сладкий. Пиво ровное, гладкое. Баланс идеален, потому-что вкуса как такового нет :) Цветочки и мед читаются, немного кислинки в середине. Но все это очень спрятано. В сухом послевкусии даже и хмелек есть. Есть такая поговорка - не ошибается тот, кто ничего не делает. Вот вроде-бы это пиво шло таким путем. По сути, тут нет ничего яркого и запоминающегося. Просто в пиве нет косяков. Освежает, легко пить, хороший баланс, приятное послевкусие. Может я и не прав, но полагаю что это пиво заслуживает хорошей оценки. Думаю что добиться такой простоты и баланса в пиве не просто. Не так легко, как пьется это пиво :) ",7.5,1,"['впервые', 'пробовать', 'пиво', 'этот', 'пивоварня', '.', 'история', 'который', 'начаться', ',', 'судить', 'по', 'они', 'сайт', ',', 'аж', 'с', '1556', 'год', '.', 'затем', 'пивоварня', ',', 'как', 'положить', ',', 'управлять', 'несколько', 'поколение', 'один', 'фамилия', '.', 'ну', 'а', 'потом', ',', 'как', 'водиться', ',', 'она', 'сожрать', 'более', 'крупный', 'рыба', ':', ')', 'в', 'рф', 'пиво', 'поставлять', 'мпк', '.', 'банк', 'неприметный', '.', 'пена', 'слабый', '.', 'пенный', 'корка', 'тоже', 'слабый', '.', 'пиво', 'чистый', ',', 'без', 'всякий', 'планктон', 'и', 'обладать', 'приятный', 'цвет', '.', 'слабый', 'цветочный', 'аромат', '.', 'солодовый', ',', 'сладкий', '.', 'пиво', 'ровный', ',', 'гладкий', '.', 'баланс', 'идеальный', ',', 'потому-что', 'вкус', 'как', 'таковой', 'нет', ':', ')', 'цветочек', 'и', 'мёд', 'читаться', ',', 'немного', 'кислинка', 'в', 'середина', '.', 'но', 'всё', 'это', 'очень', 'спрятать', '.', 'в', 'сухой', 'послевкусие', 'даже', 'и', 'хмелёк', 'есть', '.', 'есть', 'такой', 'поговорка', '-', 'не', 'ошибаться', 'тот', ',', 'кто', 'ничего', 'не', 'делать', '.', 'вот', 'вроде-бы', 'это', 'пиво', 'идти', 'такой', 'путём', '.', 'по', 'суть', ',', 'тут', 'нет', 'ничего', 'яркий', 'и', 'запоминаться', '.', 'просто', 'в', 'пиво', 'нет', 'косяк', '.', 'освежать', ',', 'легко', 'пить', ',', 'хороший', 'баланс', ',', 'приятный', 'послевкусие', '.', 'мочь', 'я', 'и', 'не', 'право', ',', 'но', 'полагать', 'что', 'это', 'пиво', 'заслуживать', 'хороший', 'оценка', '.', 'думать', 'что', 'добиться', 'такой', 'простота', 'и', 'баланс', 'в', 'пиво', 'не', 'просто', '.', 'не', 'так', 'легко', ',', 'как', 'питься', 'это', 'пиво', ':', ')']"
7,Menabrea Ambrata Менабреа Амбрата (Италия),"Menabrea  - маленькая итальянская пивоварня. С богатой, почти двухвековой историей. Судя по информации в интернете варят мало. Было удивительно найти их на полке metro cash and carry. По дизайну, цвету и пене к пиву нет никаких претензий. Приятно смотрится в бокале, а пенная корка обильная и очень долгая.   Приятный аромат. Хлебный, чуть карамельный и медовый. Во вкусе снова карамель, медовые и хлебные нотки. Пиво чуть водянистое, может показаться изрядно сладковатым, но в целом, баланс неплохой. Порадует приятной горчинкой в послевкусии.  Был приятно удивлен. Это пиво можно попробовать. ",7.8,1,"['menabrea', '-', 'маленький', 'итальянский', 'пивоварня', '.', 'с', 'богатый', ',', 'почти', 'двухвековой', 'история', '.', 'судить', 'по', 'информация', 'в', 'интернет', 'варить', 'мало', '.', 'быть', 'удивительно', 'найти', 'они', 'на', 'полка', 'metro', 'cash', 'and', 'carry', '.', 'по', 'дизайн', ',', 'цвет', 'и', 'пена', 'к', 'пиво', 'нет', 'никакой', 'претензия', '.', 'приятно', 'смотреться', 'в', 'бокал', ',', 'а', 'пенный', 'корка', 'обильный', 'и', 'очень', 'долгий', '.', 'приятный', 'аромат', '.', 'хлебный', ',', 'чуть', 'карамельный', 'и', 'медовый', '.', 'в', 'вкус', 'снова', 'карамель', ',', 'медовый', 'и', 'хлебный', 'нотка', '.', 'пиво', 'чуть', 'водянистый', ',', 'мочь', 'показаться', 'изрядно', 'сладковатый', ',', 'но', 'в', 'целое', ',', 'баланс', 'неплохой', '.', 'порадовать', 'приятный', 'горчинка', 'в', 'послевкусие', '.', 'быть', 'приятно', 'удивлённый', '.', 'это', 'пиво', 'можно', 'попробовать', '.']"
8,Guiness Blonde Ipa Гинесс Ипа (Ирландия),"Я считаю что стаут от Гиннесса отличное доказательство того, что попытки оценивать пиво - заведомо обречены на провал. Судить можно лишь о соответствии заявленному стилю, отсутствии дефектов. А что касается вкусовых качеств - то тут у каждого свои. Уверен, если вы у нескольких своих знакомых поинтересуетесь на счет их отношения к Гиннессу, то единого мнения не   
получите. Я и сам порой, зайдя в какой-нибудь атмосферный ирландский паб, не вижу другого варианта как начать с пинты азотного Гиннесса, да простит меня коллега, Бирмастер Тони. 
Во внешнем виде IPA от Гиннесса мне понравился дизайн банки. Цвет янтарный, прозрачный. С пеной вообще не повезло. Ее практически не было.  На мой взгляд аромат слабоват для данного стиля. На фоне солодового аромата читаются нотки хмеля. Чуть цитрусов и еще меньше елки.  Слегка цветочный. Пытается провалиться в кислинку вначале, потом уходит в приятную хмелевую горечь. Послевкусие долгое, сухое.  Признаться, ожидал большего. По сути мы тут имеет что-то вроде нашей отечественной ЖИПЫ (Жигулевское IPA) от МПК. Которая, если и уступит Гиннессу в оформлении упаковки, то точно выиграет у него по соотношению ценакачество.  ",6.5,1,"['я', 'считать', 'что', 'стаут', 'от', 'гиннесса', 'отличный', 'доказательство', 'тот', ',', 'что', 'попытка', 'оценивать', 'пиво', '-', 'заведомо', 'обречь', 'на', 'провал', '.', 'судить', 'можно', 'лишь', 'о', 'соответствие', 'заявить', 'стиль', ',', 'отсутствие', 'дефект', '.', 'а', 'что', 'касаться', 'вкусовой', 'качество', '-', 'то', 'тут', 'у', 'каждый', 'свой', '.', 'уверенный', ',', 'если', 'вы', 'у', 'несколько', 'свой', 'знакомый', 'поинтересоваться', 'на', 'счёт', 'они', 'отношение', 'к', 'гиннесса', ',', 'то', 'единый', 'мнение', 'не', 'получить', '.', 'я', 'и', 'сам', 'порой', ',', 'зайти', 'в', 'какой-нибудь', 'атмосферный', 'ирландский', 'паб', ',', 'не', 'видеть', 'другой', 'вариант', 'как', 'начать', 'с', 'пинта', 'азотный', 'гиннесса', ',', 'да', 'простить', 'я', 'коллега', ',', 'бирмастер', 'тони', '.', 'в', 'внешний', 'вид', 'ipa', 'от', 'гиннесса', 'я', 'понравиться', 'дизайн', 'банк', '.', 'цвет', 'янтарный', ',', 'прозрачный', '.', 'с', 'пена', 'вообще', 'не', 'повезти', '.', 'она', 'практически', 'не', 'быть', '.', 'на', 'мой', 'взгляд', 'аромат', 'слабоватый', 'для', 'данный', 'стиль', '.', 'на', 'фон', 'солодовый', 'аромат', 'читаться', 'нотка', 'хмелить', '.', 'чуть', 'цитрусовый', 'и', 'ещё', 'маленький', 'ёлка', '.', 'слегка', 'цветочный', '.', 'пытаться', 'провалиться', 'в', 'кислинка', 'вначале', ',', 'потом', 'уходить', 'в', 'приятный', 'хмелевой', 'горечь', '.', 'послевкусие', 'долгий', ',', 'сухой', '.', 'признаться', ',', 'ожидать', 'больший', '.', 'по', 'суть', 'мы', 'тут', 'иметь', 'что-то', 'вроде', 'наш', 'отечественный', 'жипа', '(', 'жигулёвский', 'ipa', ')', 'от', 'мпк', '.', 'который', ',', 'если', 'и', 'уступить', 'гиннесса', 'в', 'оформление', 'упаковка', ',', 'то', 'точно', 'выиграть', 'у', 'он', 'по', 'соотношение', 'ценакачество', '.']"
9,Knightberg Baltic Porter Найтберг Балтийский портер (Россия),"Безупречное исполнение этикетки. Она шершавая, текстурная. Сверху цивилизованная версия заливки воском :) Сюжет, если не ошибаюсь, отсылает к событиям Русско-шведской войны за Балтику. Пиво темно-коричневое, почти полностью уходящее в черный. Не скажу что был сильно в восторге от пены. Она очень быстро исчезла без остатка. Пенной корки тоже нет. С другой стороны, это пиво нужно пить долго, как вино. Тут у любого пива пена пропадет.   Тут просто фейерверк ароматов. Сухофрукты и кофе. Аромат слегка копченый. Как нагреется, небольшой намек на любимые крепленые вина - портвейн, и даже херес.  Во вкусе жженая карамель. Чернослив, кофе. После нагрева чуть уходит в алкашность, но это даже приятно.   Редко пишу про портеры, но очень люблю этот стиль пива. Считаю что балтиец от Найтберга прекрасный образец стиля. ",9.2,1,"['безупречный', 'исполнение', 'этикетка', '.', 'она', 'шершавый', ',', 'текстурный', '.', 'сверху', 'цивилизовать', 'версия', 'заливка', 'воск', ':', ')', 'сюжет', ',', 'если', 'не', 'ошибаться', ',', 'отсылать', 'к', 'событие', 'русско-шведский', 'война', 'за', 'балтика', '.', 'пиво', 'тёмно-коричневый', ',', 'почти', 'полностью', 'уходить', 'в', 'чёрный', '.', 'не', 'сказать', 'что', 'быть', 'сильно', 'в', 'восторг', 'от', 'пена', '.', 'она', 'очень', 'быстро', 'исчезнуть', 'без', 'остаток', '.', 'пенный', 'корка', 'тоже', 'нет', '.', 'с', 'другой', 'сторона', ',', 'это', 'пиво', 'нужно', 'пить', 'долго', ',', 'как', 'вино', '.', 'тут', 'у', 'любой', 'пиво', 'пена', 'пропасть', '.', 'тут', 'просто', 'фейерверк', 'аромат', '.', 'сухофрукты', 'и', 'кофе', '.', 'аромат', 'слегка', 'копчёный', '.', 'как', 'нагреться', ',', 'небольшой', 'намёк', 'на', 'любимый', 'креплёный', 'вино', '-', 'портвейн', ',', 'и', 'даже', 'херес', '.', 'в', 'вкус', 'жжёный', 'карамель', '.', 'чернослив', ',', 'кофе', '.', 'после', 'нагрев', 'чуть', 'уходить', 'в', 'алкашность', ',', 'но', 'это', 'даже', 'приятно', '.', 'редко', 'писать', 'про', 'портер', ',', 'но', 'очень', 'любить', 'этот', 'стиль', 'пиво', '.', 'считать', 'что', 'балтиец', 'от', 'найтберг', 'прекрасный', 'образец', 'стиль', '.']"
